AN_BASE,CD_AREA_AVALIACAO,NM_AREA_AVALIACAO,CONTAGEM_INGRESSANTES_ID_PESSOA,CONTAGEM_INGRESSOS_ID_PESSOA_PROGRAMA
2019,35,ANTROPOLOGIA / ARQUEOLOGIA,785,789
2019,36,GEOGRAFIA,1742,1745
2019,37,PSICOLOGIA,2676,2683
2019,38,EDUCAÇÃO,7060,7074
2019,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,1225,1228
2019,40,HISTÓRIA,2591,2602
2019,41,LINGUÍSTICA E LITERATURA,5757,5781
2019,42,CIÊNCIAS AGRÁRIAS I,4709,4728
2019,44,CIÊNCIAS DA RELIGIÃO E TEOLOGIA,540,540
2019,45,INTERDISCIPLINAR,8179,8183
2019,46,ENSINO,5077,5083
2019,47,MATERIAIS,894,900
2019,48,BIOTECNOLOGIA,1200,1201
2019,49,CIÊNCIAS AMBIENTAIS,2844,2844
2019,50,NUTRIÇÃO,619,619
2020,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,1048,1068
2020,2,CIÊNCIA DA COMPUTAÇÃO,2831,2841
2020,3,ASTRONOMIA / FÍSICA,1704,1731
2020,4,QUÍMICA,2039,2053
2020,5,GEOCIÊNCIAS,1053,1059
2020,6,CIÊNCIAS BIOLÓGICAS I,1728,1731
2020,7,BIODIVERSIDADE,2227,2232
2020,8,CIÊNCIAS BIOLÓGICAS II,1418,1422
2020,9,CIÊNCIAS BIOLÓGICAS III,724,725
2020,10,ENGENHARIAS I,2860,2880
2020,11,ARTES,1488,1490
2020,12,ENGENHARIAS II,2341,2349
2020,13,ENGENHARIAS III,3111,3128
2020,14,ENGENHARIAS IV,2695,2710
2020,15,MEDICINA I,2572,2573
2020,16,MEDICINA II,2126,2126
2020,17,MEDICINA III,932,932
2020,18,ODONTOLOGIA,2504,2507
2020,19,FARMÁCIA,1331,1334
2020,20,ENFERMAGEM,2169,2173
2020,21,EDUCAÇÃO FÍSICA,1808,1810
2020,22,SAÚDE COLETIVA,2500,2505
2020,23,ZOOTECNIA / RECURSOS PESQUEIROS,1122,1127
2020,24,MEDICINA VETERINÁRIA,1676,1677
2020,25,CIÊNCIA DE ALIMENTOS,1035,1038
2020,26,DIREITO,5446,5464
2020,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",4450,4458
2020,28,ECONOMIA,1497,1502
2020,29,"ARQUITETURA, URBANISMO E DESIGN",1499,1499
2020,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,857,857
2020,31,COMUNICAÇÃO E INFORMAÇÃO,1753,1754
2020,32,SERVIÇO SOCIAL,690,693
2020,33,FILOSOFIA,1067,1073
2020,34,SOCIOLOGIA,1162,1168
2020,35,ANTROPOLOGIA / ARQUEOLOGIA,717,717
2020,36,GEOGRAFIA,1627,1632
2020,37,PSICOLOGIA,2371,2375
2020,38,EDUCAÇÃO,6370,6380
2020,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,1126,1129
2020,40,HISTÓRIA,2556,2562
2020,41,LINGUÍSTICA E LITERATURA,4575,4591
2020,42,CIÊNCIAS AGRÁRIAS I,4053,4080
2020,44,CIÊNCIAS DA RELIGIÃO E TEOLOGIA,488,488
2020,45,INTERDISCIPLINAR,7462,7470
2020,46,ENSINO,3653,3655
2020,47,MATERIAIS,747,748
2020,48,BIOTECNOLOGIA,1142,1143
2020,49,CIÊNCIAS AMBIENTAIS,2508,2510
2020,50,NUTRIÇÃO,605,605
2021,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,2092,2122
2021,2,CIÊNCIA DA COMPUTAÇÃO,2910,2920
2021,3,ASTRONOMIA / FÍSICA,1193,1219
2021,4,QUÍMICA,1851,1891
2021,5,GEOCIÊNCIAS,1028,1031
2021,6,CIÊNCIAS BIOLÓGICAS I,936,939
2021,7,BIODIVERSIDADE,2249,2261
2021,8,CIÊNCIAS BIOLÓGICAS II,1400,1402
2021,9,CIÊNCIAS BIOLÓGICAS III,659,659
2021,10,ENGENHARIAS I,2873,2897
2021,11,ARTES,2119,2125
2021,12,ENGENHARIAS II,2369,2395
2021,13,ENGENHARIAS III,3218,3238
2021,14,ENGENHARIAS IV,2457,2466
2021,15,MEDICINA I,2587,2613
2021,16,MEDICINA II,2139,2141
2021,17,MEDICINA III,951,951
2021,18,ODONTOLOGIA,2339,2357
2021,19,FARMÁCIA,1215,1216
2021,20,ENFERMAGEM,2017,2023
2021,21,EDUCAÇÃO FÍSICA,2171,2173
2021,22,SAÚDE COLETIVA,2474,2481
2021,23,ZOOTECNIA / RECURSOS PESQUEIROS,1186,1205
2021,24,MEDICINA VETERINÁRIA,1679,1707
2021,25,CIÊNCIA DE ALIMENTOS,993,1000
2021,26,DIREITO,5921,5958
2021,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",5436,5455
2021,28,ECONOMIA,1611,1623
2021,29,"ARQUITETURA, URBANISMO E DESIGN",1531,1533
2021,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,1069,1083
2021,31,COMUNICAÇÃO E INFORMAÇÃO,2099,2123
2021,32,SERVIÇO SOCIAL,792,798
2021,33,FILOSOFIA,1203,1219
2021,34,SOCIOLOGIA,1449,1457
2021,35,ANTROPOLOGIA / ARQUEOLOGIA,767,774
2021,36,GEOGRAFIA,1864,1892
2021,37,PSICOLOGIA,2989,3030
2021,38,EDUCAÇÃO,7671,7701
2021,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,1318,1328
2021,40,HISTÓRIA,2413,2472
2021,41,LINGUÍSTICA E LITERATURA,6244,6325
2021,42,CIÊNCIAS AGRÁRIAS I,4221,4273
2021,44,CIÊNCIAS DA RELIGIÃO E TEOLOGIA,591,592
2021,45,INTERDISCIPLINAR,8658,8720
2021,46,ENSINO,5551,5572
2021,47,MATERIAIS,764,776
2021,48,BIOTECNOLOGIA,1090,1133
2021,49,CIÊNCIAS AMBIENTAIS,3080,3086
2021,50,NUTRIÇÃO,661,661
2022,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,2048,2065
2022,2,CIÊNCIA DA COMPUTAÇÃO,2447,2458
2022,3,ASTRONOMIA / FÍSICA,1623,1640
2022,4,QUÍMICA,1775,1789
2022,5,GEOCIÊNCIAS,844,846
2022,6,CIÊNCIAS BIOLÓGICAS I,1498,1498
2022,7,BIODIVERSIDADE,2062,2070
2022,8,CIÊNCIAS BIOLÓGICAS II,1364,1367
2022,9,CIÊNCIAS BIOLÓGICAS III,657,657
2022,10,ENGENHARIAS I,2411,2422
2022,11,ARTES,1679,1688
2022,12,ENGENHARIAS II,1941,1955
2022,13,ENGENHARIAS III,2672,2686
2022,14,ENGENHARIAS IV,2096,2100
2022,15,MEDICINA I,2236,2236
2022,16,MEDICINA II,2037,2037
2022,17,MEDICINA III,720,720
2022,18,ODONTOLOGIA,2387,2393
2022,19,FARMÁCIA,1157,1158
2022,20,ENFERMAGEM,1897,1902
2022,21,EDUCAÇÃO FÍSICA,1933,1940
2022,22,SAÚDE COLETIVA,2096,2101
2022,23,ZOOTECNIA / RECURSOS PESQUEIROS,1049,1050
2022,24,MEDICINA VETERINÁRIA,1680,1683
2022,25,CIÊNCIA DE ALIMENTOS,881,883
2022,26,DIREITO,5170,5199
2022,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",4822,4832
2022,28,ECONOMIA,1477,1485
2022,29,"ARQUITETURA, URBANISMO E DESIGN",1356,1358
2022,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,870,870
2022,31,COMUNICAÇÃO E INFORMAÇÃO,1651,1656
2022,32,SERVIÇO SOCIAL,801,809
2022,33,FILOSOFIA,1118,1126
2022,34,SOCIOLOGIA,1171,1191
2022,35,ANTROPOLOGIA / ARQUEOLOGIA,669,673
2022,36,GEOGRAFIA,1733,1743
2022,37,PSICOLOGIA,2425,2436
2022,38,EDUCAÇÃO,7727,7749
2022,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,1125,1130
2022,40,HISTÓRIA,2602,2618
2022,41,LINGUÍSTICA E LITERATURA,5191,5227
2022,42,CIÊNCIAS AGRÁRIAS I,3748,3779
2022,44,CIÊNCIAS DA RELIGIÃO E TEOLOGIA,449,451
2022,45,INTERDISCIPLINAR,7822,7827
2022,46,ENSINO,4871,4878
2022,47,MATERIAIS,657,658
2022,48,BIOTECNOLOGIA,981,981
2022,49,CIÊNCIAS AMBIENTAIS,2721,2725
2022,50,NUTRIÇÃO,598,600
2023,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,2276,2291
2023,2,CIÊNCIA DA COMPUTAÇÃO,2847,2858
2023,3,ASTRONOMIA / FÍSICA,1686,1694
2023,4,QUÍMICA,1821,1824
2023,5,GEOCIÊNCIAS,975,978
2023,6,CIÊNCIAS BIOLÓGICAS I,1488,1490
2023,7,BIODIVERSIDADE,2296,2309
2023,8,CIÊNCIAS BIOLÓGICAS II,1547,1548
2023,9,CIÊNCIAS BIOLÓGICAS III,712,714
2023,10,ENGENHARIAS I,2424,2430
2023,11,ARTES,1640,1646
2023,12,ENGENHARIAS II,2200,2207
2023,13,ENGENHARIAS III,2648,2659
2023,14,ENGENHARIAS IV,2328,2336
2023,15,MEDICINA I,2412,2412
2023,16,MEDICINA II,1911,1912
2023,17,MEDICINA III,804,804
2023,18,ODONTOLOGIA,2384,2384
2023,19,FARMÁCIA,1276,1277
2023,20,ENFERMAGEM,1864,1868
2023,21,EDUCAÇÃO FÍSICA,2266,2266
2023,22,SAÚDE COLETIVA,2025,2027
2023,23,ZOOTECNIA / RECURSOS PESQUEIROS,1089,1101
