AN_BASE,CD_AREA_AVALIACAO,NM_AREA_AVALIACAO,CONTAGEM_EGRESSOS_ID_PESSOA,CONTAGEM_EGRESSOS_ID_PESSOA_PROGRAMA
2015,44,TEOLOGIA,425,425
2015,45,INTERDISCIPLINAR,4271,4271
2015,46,ENSINO,1642,1642
2015,47,MATERIAIS,431,431
2015,48,BIOTECNOLOGIA,767,767
2015,49,CIÊNCIAS AMBIENTAIS,1291,1291
2015,50,NUTRIÇÃO,343,343
2016,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,1421,1422
2016,2,CIÊNCIA DA COMPUTAÇÃO,1812,1812
2016,3,ASTRONOMIA / FÍSICA,1158,1163
2016,4,QUÍMICA,1778,1778
2016,5,GEOCIÊNCIAS,891,891
2016,6,CIÊNCIAS BIOLÓGICAS I,1172,1172
2016,7,BIODIVERSIDADE,2227,2227
2016,8,CIÊNCIAS BIOLÓGICAS II,1339,1339
2016,9,CIÊNCIAS BIOLÓGICAS III,593,593
2016,10,ENGENHARIAS I,2048,2050
2016,11,ARTES / MÚSICA,1081,1081
2016,12,ENGENHARIAS II,2010,2010
2016,13,ENGENHARIAS III,2871,2871
2016,14,ENGENHARIAS IV,2010,2010
2016,15,MEDICINA I,2179,2179
2016,16,MEDICINA II,1743,1743
2016,17,MEDICINA III,733,733
2016,18,ODONTOLOGIA,2169,2169
2016,19,FARMÁCIA,1133,1133
2016,20,ENFERMAGEM,1492,1492
2016,21,EDUCAÇÃO FÍSICA,1201,1201
2016,22,SAÚDE COLETIVA,1514,1514
2016,23,ZOOTECNIA / RECURSOS PESQUEIROS,1356,1356
2016,24,MEDICINA VETERINÁRIA,1489,1489
2016,25,CIÊNCIA DE ALIMENTOS,926,926
2016,26,DIREITO,3084,3084
2016,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",3438,3438
2016,28,ECONOMIA,1083,1083
2016,29,"ARQUITETURA, URBANISMO E DESIGN",978,978
