NM_SUBAREA_CONHECIMENTO,CD_AREA_AVALIACAO,CS_STATUS_JURIDICO,DS_DEPENDENCIA_ADMINISTRATIVA,NM_REGIAO,SG_UF_PROGRAMA,NM_MUNICIPIO_PROGRAMA_IES,NM_MODALIDADE_PROGRAMA,NM_PROGRAMA_IES,CD_CONCEITO_PROGRAMA,AN_INICIO_PROGRAMA,DS_SITUACAO_PROGRAMA
NÃO SE APLICA,7,ESTADUAL,PÚBLICA,SUDESTE,SP,ASSIS,ACADÊMICO,BIOCIÊNCIAS,4,2012,EM FUNCIONAMENTO
NÃO SE APLICA,41,ESTADUAL,PÚBLICA,SUDESTE,SP,ASSIS,ACADÊMICO,LETRAS,5,1979,EM FUNCIONAMENTO
NÃO SE APLICA,37,ESTADUAL,PÚBLICA,SUDESTE,SP,ASSIS,ACADÊMICO,PSICOLOGIA,4,1995,EM FUNCIONAMENTO
NÃO SE APLICA,47,ESTADUAL,PÚBLICA,SUDESTE,SP,BAURU,ACADÊMICO,CIÊNCIA E TECNOLOGIA DE MATERIAIS,5,2004,EM FUNCIONAMENTO
NÃO SE APLICA,31,ESTADUAL,PÚBLICA,SUDESTE,SP,BAURU,ACADÊMICO,COMUNICAÇÃO,5,2001,EM FUNCIONAMENTO
NÃO SE APLICA,29,ESTADUAL,PÚBLICA,SUDESTE,SP,BAURU,ACADÊMICO,DESIGN,6,1999,EM FUNCIONAMENTO
NÃO SE APLICA,46,ESTADUAL,PÚBLICA,SUDESTE,SP,BAURU,PROFISSIONAL,DOCÊNCIA PARA A EDUCAÇÃO BÁSICA,4,2014,EM FUNCIONAMENTO
NÃO SE APLICA,13,ESTADUAL,PÚBLICA,SUDESTE,SP,BAURU,ACADÊMICO,ENGENHARIA MECÂNICA,4,1997,EM FUNCIONAMENTO
NÃO SE APLICA,14,ESTADUAL,PÚBLICA,SUDESTE,SP,BAURU,ACADÊMICO,ENGENHARIA ELÉTRICA,4,2008,EM FUNCIONAMENTO
ENSINO DE CIÊNCIAS E MATEMÁTICA,46,ESTADUAL,PÚBLICA,SUDESTE,SP,BAURU,ACADÊMICO,EDUCAÇÃO PARA A CIÊNCIA,6,1997,EM FUNCIONAMENTO
NÃO SE APLICA,29,ESTADUAL,PÚBLICA,SUDESTE,SP,BAURU,ACADÊMICO,ARQUITETURA E URBANISMO,5,2013,EM FUNCIONAMENTO
NÃO SE APLICA,37,ESTADUAL,PÚBLICA,SUDESTE,SP,BAURU,ACADÊMICO,PSICOLOGIA DO DESENVOLVIMENTO E APRENDIZAGEM,5,2005,EM FUNCIONAMENTO
