AN_BASE,CD_AREA_AVALIACAO,NM_AREA_AVALIACAO,IN_REDE,SG_UF_PROGRAMA,CD_PROGRAMA_IES,NM_PROGRAMA_IES,DS_SITUACAO_PROGRAMA
2024,46,ENSINO,SIM,ES,30004012074P8,EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA,EM FUNCIONAMENTO
2024,2,COMPUTAÇÃO,NÃO,ES,30004012075P4,COMPUTAÇÃO APLICADA,EM FUNCIONAMENTO
2024,14,ENGENHARIAS IV,NÃO,ES,30004012070P2,ENGENHARIA DE CONTROLE E AUTOMAÇÃO,EM FUNCIONAMENTO
2024,46,ENSINO,NÃO,ES,30004012002P7,EDUCAÇÃO EM CIÊNCIAS E MATEMÁTICA,EM FUNCIONAMENTO
2024,46,ENSINO,NÃO,ES,30004012072P5,ENSINO DE HUMANIDADES,EM FUNCIONAMENTO
2024,12,ENGENHARIAS II,NÃO,ES,30004012001P0,ENGENHARIA METALÚRGICA E DE MATERIAIS,EM FUNCIONAMENTO
2024,45,INTERDISCIPLINAR,NÃO,ES,30004012071P9,TECNOLOGIAS SUSTENTÁVEIS,EM FUNCIONAMENTO
2024,42,CIÊNCIAS AGRÁRIAS I,NÃO,ES,30004012073P1,AGROECOLOGIA,EM FUNCIONAMENTO
2024,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",NÃO,ES,30007011003P2,ADMINISTRAÇÃO E CIÊNCIAS CONTÁBEIS,EM FUNCIONAMENTO
2024,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",NÃO,ES,30007011001P0,CIÊNCIAS CONTÁBEIS E ADMINISTRAÇÃO,EM FUNCIONAMENTO
2024,26,DIREITO,NÃO,ES,30010012001P7,DIREITO,EM FUNCIONAMENTO
2024,29,"ARQUITETURA, URBANISMO E DESIGN",NÃO,ES,30011019103P0,ARQUITETURA E CIDADE,EM FUNCIONAMENTO
2024,45,INTERDISCIPLINAR,NÃO,ES,30011019006P5,SEGURANÇA PÚBLICA,EM FUNCIONAMENTO
2024,24,MEDICINA VETERINÁRIA,NÃO,ES,30011019002P0,CIÊNCIA ANIMAL,EM FUNCIONAMENTO
2024,34,SOCIOLOGIA,NÃO,ES,30011019005P9,SOCIOLOGIA POLÍTICA,EM FUNCIONAMENTO
2024,19,FARMÁCIA,NÃO,ES,30011019003P6,CIÊNCIAS FARMACÊUTICAS,EM FUNCIONAMENTO
2024,32,SERVIÇO SOCIAL,NÃO,ES,30013011001P6,POLÍTICAS PÚBLICAS E DESENVOLVIMENTO LOCAL,EM FUNCIONAMENTO
2024,44,CIÊNCIAS DA RELIGIÃO E TEOLOGIA,NÃO,ES,30014018001P2,CIÊNCIAS DAS RELIGIÕES,EM FUNCIONAMENTO
2024,45,INTERDISCIPLINAR,NÃO,ES,30015014002P5,"CIÊNCIA, TECNOLOGIA E EDUCAÇÃO",EM FUNCIONAMENTO
2024,14,ENGENHARIAS IV,NÃO,RJ,31001017029P6,ENGENHARIA ELÉTRICA,EM FUNCIONAMENTO
2024,8,CIÊNCIAS BIOLÓGICAS II,NÃO,RJ,31001017108P3,CIÊNCIAS BIOLÓGICAS (FISIOLOGIA),EM FUNCIONAMENTO
2024,9,CIÊNCIAS BIOLÓGICAS III,NÃO,RJ,31001017017P8,CIÊNCIAS (MICROBIOLOGIA),EM FUNCIONAMENTO
2024,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,NÃO,RJ,31001017003P7,MATEMÁTICA,EM FUNCIONAMENTO
2024,51,CIÊNCIAS E HUMANIDADES PARA A EDUCAÇÃO BÁSICA,SIM,RJ,31001017169P2,QUÍMICA EM REDE NACIONAL,EM FUNCIONAMENTO
2024,41,LINGUÍSTICA E LITERATURA,NÃO,RJ,31001017071P2,LETRAS (CIÊNCIA DA LITERATURA),EM FUNCIONAMENTO
2024,48,BIOTECNOLOGIA,NÃO,RJ,31001017100P2,BIOTECNOLOGIA VEGETAL E BIOPROCESSOS,EM FUNCIONAMENTO
2024,16,MEDICINA II,NÃO,RJ,31001017057P0,MEDICINA (RADIOLOGIA),EM FUNCIONAMENTO
2024,8,CIÊNCIAS BIOLÓGICAS II,NÃO,RJ,31001017179P8,BIOIMAGEM E BIOESTRUTURA,EM FUNCIONAMENTO
2024,8,CIÊNCIAS BIOLÓGICAS II,NÃO,RJ,31001017149P1,"EDUCAÇÃO, GESTÃO E DIFUSÃO EM BIOCIÊNCIAS",EM FUNCIONAMENTO
2024,8,CIÊNCIAS BIOLÓGICAS II,NÃO,RJ,31001017148P5,FORMAÇÃO PARA A PESQUISA BIOMÉDICA,EM FUNCIONAMENTO
2024,29,"ARQUITETURA, URBANISMO E DESIGN",NÃO,RJ,31001017088P2,ARQUITETURA,EM FUNCIONAMENTO
2024,11,ARTES,NÃO,RJ,31001017170P0,MÚSICA,EM FUNCIONAMENTO
2024,11,ARTES,NÃO,RJ,31001017089P9,ARTES VISUAIS,EM FUNCIONAMENTO
2024,3,ASTRONOMIA / FÍSICA,NÃO,RJ,31001017002P0,FÍSICA,EM FUNCIONAMENTO
2024,19,FARMÁCIA,NÃO,RJ,31001017143P3,PRODUTOS BIOATIVOS E BIOCIÊNCIAS,EM FUNCIONAMENTO
2024,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,NÃO,RJ,31001017065P2,PLANEJAMENTO URBANO E REGIONAL,EM FUNCIONAMENTO
2024,50,NUTRIÇÃO,NÃO,RJ,31001017084P7,NUTRIÇÃO,EM FUNCIONAMENTO
