AN_BASE,CD_AREA_AVALIACAO,NM_AREA_AVALIACAO,CONTAGEM_PROGRAMAS_DISTINTOS,CONTAGEM_PROGRAMAS_ATIVOS_DISTINTOS
2020,32,SERVIÇO SOCIAL,36,36
2020,33,FILOSOFIA,52,52
2020,34,SOCIOLOGIA,53,52
2020,35,ANTROPOLOGIA / ARQUEOLOGIA,37,37
2020,36,GEOGRAFIA,76,76
2020,37,PSICOLOGIA,101,101
2020,38,EDUCAÇÃO,186,185
2020,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,59,59
2020,40,HISTÓRIA,80,80
2020,41,LINGUÍSTICA E LITERATURA,157,156
2020,42,CIÊNCIAS AGRÁRIAS I,218,218
2020,44,CIÊNCIAS DA RELIGIÃO E TEOLOGIA,21,21
2020,45,INTERDISCIPLINAR,365,359
2020,46,ENSINO,177,177
2020,47,MATERIAIS,41,41
2020,48,BIOTECNOLOGIA,66,65
2020,49,CIÊNCIAS AMBIENTAIS,137,137
2020,50,NUTRIÇÃO,36,36
2021,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,60,60
2021,2,CIÊNCIA DA COMPUTAÇÃO,88,88
2021,3,ASTRONOMIA / FÍSICA,66,63
2021,4,QUÍMICA,78,76
2021,5,GEOCIÊNCIAS,58,58
2021,6,CIÊNCIAS BIOLÓGICAS I,63,62
2021,7,BIODIVERSIDADE,147,143
2021,8,CIÊNCIAS BIOLÓGICAS II,79,77
2021,9,CIÊNCIAS BIOLÓGICAS III,36,36
2021,10,ENGENHARIAS I,133,127
2021,11,ARTES,70,69
2021,12,ENGENHARIAS II,99,94
2021,13,ENGENHARIAS III,133,126
2021,14,ENGENHARIAS IV,93,92
2021,15,MEDICINA I,114,110
2021,16,MEDICINA II,108,108
2021,17,MEDICINA III,53,52
2021,18,ODONTOLOGIA,104,100
2021,19,FARMÁCIA,69,69
2021,20,ENFERMAGEM,78,78
2021,21,EDUCAÇÃO FÍSICA,81,80
2021,22,SAÚDE COLETIVA,97,97
2021,23,ZOOTECNIA / RECURSOS PESQUEIROS,65,61
2021,24,MEDICINA VETERINÁRIA,87,86
2021,25,CIÊNCIA DE ALIMENTOS,61,60
2021,26,DIREITO,133,133
2021,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",194,190
2021,28,ECONOMIA,77,77
2021,29,"ARQUITETURA, URBANISMO E DESIGN",67,66
2021,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,50,48
2021,31,COMUNICAÇÃO E INFORMAÇÃO,92,91
2021,32,SERVIÇO SOCIAL,37,36
2021,33,FILOSOFIA,56,54
2021,34,SOCIOLOGIA,54,52
2021,35,ANTROPOLOGIA / ARQUEOLOGIA,37,37
2021,36,GEOGRAFIA,79,78
2021,37,PSICOLOGIA,102,102
2021,38,EDUCAÇÃO,191,189
2021,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,62,61
2021,40,HISTÓRIA,85,82
2021,41,LINGUÍSTICA E LITERATURA,163,158
2021,42,CIÊNCIAS AGRÁRIAS I,224,217
2021,44,CIÊNCIAS DA RELIGIÃO E TEOLOGIA,21,21
2021,45,INTERDISCIPLINAR,389,371
2021,46,ENSINO,187,183
2021,47,MATERIAIS,43,42
2021,48,BIOTECNOLOGIA,68,67
2021,49,CIÊNCIAS AMBIENTAIS,142,139
2021,50,NUTRIÇÃO,36,36
2022,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,60,60
2022,2,CIÊNCIA DA COMPUTAÇÃO,88,88
2022,3,ASTRONOMIA / FÍSICA,63,63
2022,4,QUÍMICA,76,76
2022,5,GEOCIÊNCIAS,58,58
2022,6,CIÊNCIAS BIOLÓGICAS I,62,62
2022,7,BIODIVERSIDADE,142,142
2022,8,CIÊNCIAS BIOLÓGICAS II,77,77
2022,9,CIÊNCIAS BIOLÓGICAS III,36,36
2022,10,ENGENHARIAS I,128,127
2022,11,ARTES,70,70
2022,12,ENGENHARIAS II,94,94
2022,13,ENGENHARIAS III,126,126
2022,14,ENGENHARIAS IV,92,91
2022,15,MEDICINA I,112,111
2022,16,MEDICINA II,108,108
2022,17,MEDICINA III,52,52
2022,18,ODONTOLOGIA,98,98
2022,19,FARMÁCIA,69,69
2022,20,ENFERMAGEM,79,79
2022,21,EDUCAÇÃO FÍSICA,80,80
2022,22,SAÚDE COLETIVA,97,97
2022,23,ZOOTECNIA / RECURSOS PESQUEIROS,61,61
2022,24,MEDICINA VETERINÁRIA,85,85
2022,25,CIÊNCIA DE ALIMENTOS,59,59
2022,26,DIREITO,132,132
2022,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",189,188
2022,28,ECONOMIA,76,75
2022,29,"ARQUITETURA, URBANISMO E DESIGN",65,64
2022,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,47,47
2022,31,COMUNICAÇÃO E INFORMAÇÃO,89,88
2022,32,SERVIÇO SOCIAL,36,36
2022,33,FILOSOFIA,54,54
2022,34,SOCIOLOGIA,52,51
2022,35,ANTROPOLOGIA / ARQUEOLOGIA,37,37
2022,36,GEOGRAFIA,77,77
2022,37,PSICOLOGIA,102,101
2022,38,EDUCAÇÃO,191,191
2022,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,60,60
2022,40,HISTÓRIA,82,81
2022,41,LINGUÍSTICA E LITERATURA,157,156
2022,42,CIÊNCIAS AGRÁRIAS I,217,216
2022,44,CIÊNCIAS DA RELIGIÃO E TEOLOGIA,21,21
2022,45,INTERDISCIPLINAR,376,375
2022,46,ENSINO,182,181
2022,47,MATERIAIS,42,42
2022,48,BIOTECNOLOGIA,66,65
2022,49,CIÊNCIAS AMBIENTAIS,138,138
2022,50,NUTRIÇÃO,34,34
2023,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,60,60
2023,2,CIÊNCIA DA COMPUTAÇÃO,88,87
2023,3,ASTRONOMIA / FÍSICA,66,63
2023,4,QUÍMICA,76,76
2023,5,GEOCIÊNCIAS,58,55
2023,6,CIÊNCIAS BIOLÓGICAS I,62,62
2023,7,BIODIVERSIDADE,145,141
2023,8,CIÊNCIAS BIOLÓGICAS II,77,76
2023,9,CIÊNCIAS BIOLÓGICAS III,36,36
2023,10,ENGENHARIAS I,129,124
2023,11,ARTES,70,70
2023,12,ENGENHARIAS II,97,93
2023,13,ENGENHARIAS III,133,122
2023,14,ENGENHARIAS IV,92,89
2023,15,MEDICINA I,113,110
2023,16,MEDICINA II,108,106
2023,17,MEDICINA III,53,52
2023,18,ODONTOLOGIA,100,98
2023,19,FARMÁCIA,69,69
2023,20,ENFERMAGEM,79,78
2023,21,EDUCAÇÃO FÍSICA,81,80
2023,22,SAÚDE COLETIVA,97,97
2023,23,ZOOTECNIA / RECURSOS PESQUEIROS,65,61
2023,24,MEDICINA VETERINÁRIA,86,84
2023,25,CIÊNCIA DE ALIMENTOS,61,57
2023,26,DIREITO,132,129
2023,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",191,183
2023,28,ECONOMIA,77,74
2023,29,"ARQUITETURA, URBANISMO E DESIGN",66,63
2023,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,48,47
2023,31,COMUNICAÇÃO E INFORMAÇÃO,90,87
2023,32,SERVIÇO SOCIAL,36,36
2023,33,FILOSOFIA,56,54
2023,34,SOCIOLOGIA,53,51
2023,35,ANTROPOLOGIA / ARQUEOLOGIA,37,36
2023,36,GEOGRAFIA,77,77
2023,37,PSICOLOGIA,102,100
2023,38,EDUCAÇÃO,191,190
2023,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,60,60
2023,40,HISTÓRIA,84,81
2023,41,LINGUÍSTICA E LITERATURA,159,153
2023,42,CIÊNCIAS AGRÁRIAS I,222,216
2023,44,CIÊNCIAS DA RELIGIÃO E TEOLOGIA,21,21
2023,45,INTERDISCIPLINAR,387,368
2023,46,ENSINO,184,180
2023,47,MATERIAIS,42,42
2023,48,BIOTECNOLOGIA,66,65
2023,49,CIÊNCIAS AMBIENTAIS,141,137
2023,50,NUTRIÇÃO,36,34
2024,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,60,60
2024,2,COMPUTAÇÃO,88,88
2024,3,ASTRONOMIA / FÍSICA,63,63
2024,4,QUÍMICA,76,76
2024,5,GEOCIÊNCIAS,58,57
